=================== grind ===================
arm grind cpu 6 frames 8017 swaps {'flush': 0, 'finish': 8017}; round 1 length 68.21 closed_by report span 0.54-66.18 (human_death) frames 4250 excl 313 hitches 0 rawmax 39.8
window                     secs         ms med (range)        pre med (range)        ren med (range)      draws med (range)
before (free, throttled)     10       11.1 (10.8-11.8)          5.9 (5.8-6.2)          5.1 (4.9-5.6)       53.0 (52.0-55.0)
rim, all                     40       17.1 (14.5-20.3)         9.4 (8.6-10.3)         7.6 (5.5-10.3)     113.3 (60.0-171.2)
rim, draws <= 70             14       15.3 (14.5-16.5)          9.1 (8.6-9.8)          6.0 (5.5-6.7)       60.0 (60.0-68.7)
rim, draws >= 150            15       18.8 (18.2-20.3)         9.6 (9.1-10.3)         9.2 (8.8-10.3)    166.3 (153.1-171.2)
ms_p50                 before 11.1 -> rim@<=70 draws 15.3 (+37 %, +4.2 ms); rim all 17.1 (+54 %)
ms_to_first_draw       before 5.9 -> rim@<=70 draws 9.1 (+55 %, +3.2 ms); rim all 9.4 (+59 %)
ms_first_draw_to_swap  before 5.1 -> rim@<=70 draws 6.0 (+18 %, +0.9 ms); rim all 7.6 (+48 %)
text excursion (rim >=150 vs rim <=70 draws): draws 60 -> 166, ren 6.0 -> 9.2 = 30 us per draw call; pre 9.1 -> 9.6
shots: r1-after-tutorial-keys@7.53s, g-12s-free@11.74s, g-18s-approach@17.96s, g-24s-grinding@24.2s, g-34s-grinding@34.46s, g-44s-grinding@44.69s, g-54s-grinding@54.94s, kill-stall@60.15s

per second (round clock; s = second after NEW_ROUND; draws = draw calls/frame; ms = ms_p50; pre = ms_to_first_draw_p50; ren = ms_first_draw_to_swap_p50; rawmax = raw_ms_max incl. screenshot/stall hitches)
shots: r1-after-tutorial-keys@7.53s, g-12s-free@11.73s, g-18s-approach@17.94s, g-24s-grinding@24.17s, g-34s-grinding@34.41s, g-44s-grinding@44.64s, g-54s-grinding@54.88s, kill-stall@60.11s

per second (round clock; s = second after NEW_ROUND; draws = draw calls/frame; ms = ms_p50; pre = ms_to_first_draw_p50; ren = ms_first_draw_to_swap_p50; rawmax = raw_ms_max incl. screenshot/stall hitches)
  0   20.7    5.3    4.9    0.2    22.7
  1   33.0    5.5    4.9    0.5     7.3
  2   52.6    6.2    5.1    1.0     9.8
  3   53.0    6.4    5.1    1.1     8.0
  4   56.1    6.9    5.4    1.5    13.1
  5   58.9    6.3    5.2    1.1    10.4
  6   56.0    6.2    5.1    1.0     8.3
  7   56.0    6.4    5.2    1.1    16.6
  8   55.0   12.3    6.1    6.3    17.7
  9   55.0   11.5    5.9    5.6    14.6
 10   54.0   11.9    6.1    5.7    14.1
 11   54.0   11.7    6.0    5.7    13.8
 12   53.0   10.6    5.7    4.9    14.1
 13   53.0   12.1    6.1    6.1    15.3
 14   52.0   11.2    5.8    5.2    16.2
 15   52.0   10.2    5.6    4.6    12.2
 16   52.0   10.5    5.7    4.7    13.1
 17   52.0   10.4    5.7    4.7    13.6
 18   52.4   13.0    6.7    6.2    18.5
 19   58.7   13.8    8.0    5.4    20.4
 20   67.0   13.8    8.3    5.2    16.2
 21   79.9   13.9    8.4    5.7    17.4
 22  113.0   15.3    8.8    6.5    19.7
 23  143.3   15.4    8.2    7.1    19.0
 24  175.2   17.7    8.9    8.7    21.3
 25  174.2   20.7    9.9   10.3    27.6
 26  141.4   18.5    9.4    8.8    22.0
 27  108.0   16.5    9.2    7.5    21.2
 28   76.3   15.2    8.9    6.4    17.2
 29   60.1   14.4    8.6    5.7    30.6
 30   60.0   15.3    9.1    6.1    17.9
 31   60.0   15.7    9.2    6.3    18.9
 32   60.0   15.1    9.0    5.8    19.2
 33   60.0   14.3    8.9    5.3    17.5
 34   61.5   14.2    8.5    5.6    17.7
 35   78.2   15.0    8.7    6.0    16.6
 36  111.0   16.1    8.9    7.2    18.5
 37  140.6   18.5    9.7    8.7    21.4
 38  166.9   19.2    9.3    9.6    23.8
 39  176.4   18.3    8.9    9.5    22.5
 40  172.2   17.2    8.7    8.3    19.4
 41  173.0   16.4    8.3    8.0    19.2
 42  177.1   16.3    8.2    8.0    21.5
 43  179.9   18.4    9.0    9.2    25.4
 44  180.4   15.9    7.9    7.9    22.0
 45  181.5   16.6    8.4    8.2    20.4
 46  181.7   16.3    8.2    8.0    22.3
 47  183.3   16.2    8.2    7.9    25.0
