[   1618ms] [harness] chrome: Chrome/152.0.7977.65
[   1619ms] [harness] navigating to http://localhost:8000/armagetronad.html
[     55ms] [console.error] WARNING: using emscripten GL emulation. This is a collection of limited workarounds, do not expect it to work.
[     55ms] [console.error] WARNING: using emscripten GL emulation unsafe opts. If weirdness happens, try -sGL_UNSAFE_OPTS=0
[     67ms] [page] load event fired
[   6665ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6666ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6675ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6676ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6680ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6681ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6681ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6693ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6693ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6698ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6699ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6699ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6708ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6708ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
[   6714ms] [browser.warning/rendering] WebGL: INVALID_ENUM: hint: invalid target   <- http://localhost:8000/armagetronad.js
